tailnum,manufacturer,issue_date,model,aircraft_type,engine_type,year
N10156,EMBRAER,2/13/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N102UW,AIRBUS INDUSTRIE,5/26/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1998
N10323,BOEING,7/1/1997,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N103US,AIRBUS INDUSTRIE,6/18/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N104UA,BOEING,1/26/1998,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1998
N104UW,AIRBUS INDUSTRIE,7/2/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N10575,EMBRAER,6/24/2003,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N105UA,BOEING,10/15/2007,747-451,Fixed Wing Multi-Engine,Turbo-Jet,1994
N105UW,AIRBUS INDUSTRIE,7/22/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N106US,AIRBUS INDUSTRIE,8/5/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N107UA,BOEING,8/24/1998,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1998
N107US,AIRBUS INDUSTRIE,8/17/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N108UW,AIRBUS INDUSTRIE,9/3/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N109UW,AIRBUS INDUSTRIE,9/10/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N110UW,AIRBUS INDUSTRIE,11/22/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11106,EMBRAER,6/25/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11107,EMBRAER,6/25/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11109,EMBRAER,6/25/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11113,EMBRAER,6/25/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11119,EMBRAER,1/8/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11121,EMBRAER,1/22/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11127,EMBRAER,3/10/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11137,EMBRAER,5/21/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11140,EMBRAER,6/16/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11150,EMBRAER,10/21/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N11155,EMBRAER,1/28/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11164,EMBRAER,6/9/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11165,EMBRAER,6/24/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11176,EMBRAER,1/12/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N11181,EMBRAER,4/13/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11184,EMBRAER,5/25/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11187,EMBRAER,7/13/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11189,EMBRAER,8/11/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11191,EMBRAER,9/14/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11192,EMBRAER,10/5/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11193,EMBRAER,10/19/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11194,EMBRAER,11/9/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N11199,EMBRAER,2/22/2006,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2006
N111US,AIRBUS INDUSTRIE,11/29/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11206,BOEING,7/27/2000,737-824,Fixed Wing Multi-Engine,Turbo-Fan,2000
N112US,AIRBUS INDUSTRIE,12/22/1999,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N113UW,AIRBUS INDUSTRIE,1/18/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N114UW,AIRBUS INDUSTRIE,1/24/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11526,EMBRAER,4/4/2001,EMB-135LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11535,EMBRAER,7/10/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11536,EMBRAER,7/10/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11539,EMBRAER,5/29/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N11544,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11547,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11548,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11551,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11565,EMBRAER,8/23/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N11612,BOEING,7/20/1994,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1994
N11641,BOEING,8/29/1997,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11651,BOEING,12/31/1997,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1997
N11656,BOEING,2/22/2008,737-524,Fixed Wing Multi-Engine,Turbo-Fan,1998
N116UA,BOEING,12/29/1998,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1998
N117UA,BOEING,2/1/1999,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
N117UW,AIRBUS INDUSTRIE,8/11/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N118US,AIRBUS INDUSTRIE,9/14/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N119UA,BOEING,3/31/1999,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
N119US,AIRBUS INDUSTRIE,8/18/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N1200K,BOEING,4/13/1998,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1998
N1201P,BOEING,4/22/1998,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1998
N120UA,BOEING,4/13/1999,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
N12109,BOEING,12/7/1994,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1994
N12114,BOEING,7/5/1995,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1995
N12116,BOEING,3/29/1996,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1996
N12122,EMBRAER,1/22/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12125,BOEING,2/2/1998,757-224,Fixed Wing Multi-Engine,Turbo-Jet,1998
N12126,EMBRAER,2/12/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12135,EMBRAER,5/7/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12136,EMBRAER,5/14/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12142,EMBRAER,6/26/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12145,EMBRAER,8/26/2003,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2003
N12157,EMBRAER,2/19/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12160,EMBRAER,4/14/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12163,EMBRAER,5/26/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12166,EMBRAER,7/28/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12167,EMBRAER,7/29/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12172,EMBRAER,10/27/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12175,EMBRAER,12/15/2004,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N12195,EMBRAER,12/7/2005,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N121DE,BOEING,6/9/1987,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1987
N121UA,BOEING,4/23/1999,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
N121UW,AIRBUS INDUSTRIE,9/22/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12201,EMBRAER,4/19/2006,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,2006
N12216,BOEING,8/5/1998,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12218,BOEING,8/17/1998,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12221,BOEING,12/2/1998,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12225,BOEING,12/22/1998,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1998
N12238,BOEING,10/12/1999,737-824,Fixed Wing Multi-Engine,Turbo-Fan,1999
N122UA,BOEING,6/15/1999,747-422,Fixed Wing Multi-Engine,Turbo-Fan,1999
N122US,AIRBUS INDUSTRIE,11/30/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12313,BOEING,10/18/1985,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1985
N12318,BOEING,7/18/2006,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12319,BOEING,7/18/2006,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12322,BOEING,6/30/1997,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12327,BOEING,5/5/2004,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1986
N12349,BOEING,10/4/2006,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,1987
N123UW,AIRBUS INDUSTRIE,11/20/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N124DE,BOEING,11/25/1987,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1987
N124US,AIRBUS INDUSTRIE,11/21/2000,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12519,EMBRAER,1/10/2001,EMB-135LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12530,EMBRAER,5/31/2002,EMB-135LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12540,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
N12552,EMBRAER,5/30/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12563,EMBRAER,6/27/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12564,EMBRAER,7/18/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12567,EMBRAER,8/26/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N12569,EMBRAER,6/24/2003,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2002
N125DL,BOEING,2/6/2008,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1988
N126AT,BOEING,6/24/2004,737-76N,Fixed Wing Multi-Engine,Turbo-Fan,2004
N126DL,BOEING,2/4/2008,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1988
N127DL,BOEING,7/11/1988,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1988
N128DL,BOEING,7/13/1988,767-332,Fixed Wing Multi-Engine,Turbo-Fan,1988
N128UA,BOEING,5/15/2000,747-422,Fixed Wing Multi-Engine,Turbo-Fan,2000
N12900,EMBRAER,7/1/2002,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2001
